cliente_id,idade,renda_mensal,visitas_mes,gasto_medio,dias_desde_ultima_compra,perfil_referencia
CLI001,31,1881,3,132.49,58,economico
CLI002,51,2408,3,220.06,46,economico
CLI003,51,2529,1,118.88,49,economico
CLI004,26,2769,2,91.25,60,economico
CLI005,28,4083,1,116.21,12,economico
CLI006,39,3078,4,67.47,36,economico
CLI007,23,3689,1,133.31,31,economico
CLI008,32,2365,4,191.52,24,economico
CLI009,41,2801,4,80.05,19,economico
CLI010,51,3246,3,77.3,25,economico
CLI011,32,3501,2,144.31,58,economico
CLI012,31,2592,2,117.06,34,economico
CLI013,51,2583,1,166.31,42,economico
CLI014,52,2096,3,150.03,28,economico
CLI015,45,3348,2,164.21,47,economico
CLI016,45,3242,3,93.97,40,economico
CLI017,56,2610,2,93.95,31,economico
CLI018,44,2498,2,73.64,45,economico
CLI019,47,3573,3,58.6,39,economico
CLI020,46,3318,4,97.34,41,economico
CLI021,39,2494,2,152.42,44,economico
CLI022,50,3021,2,127.9,70,economico
CLI023,34,4384,2,125.75,51,economico
CLI024,49,3770,1,170.65,39,economico
CLI025,57,3357,2,107.75,41,economico
CLI026,47,3087,2,86.62,49,economico
CLI027,39,3621,2,127.82,26,economico
CLI028,45,3493,1,165.12,42,economico
CLI029,60,3529,3,135.47,35,economico
CLI030,56,2933,1,122.46,46,economico
CLI031,24,7623,6,444.45,12,frequente
CLI032,35,4763,6,335.2,11,frequente
CLI033,41,4842,9,377.7,19,frequente
CLI034,36,6170,6,404.94,5,frequente
CLI035,25,6213,7,378.24,6,frequente
CLI036,30,5293,8,311.25,1,frequente
CLI037,27,5837,7,296.51,9,frequente
CLI038,31,6074,4,352.16,15,frequente
CLI039,45,5650,6,332.47,11,frequente
CLI040,26,5132,6,494.15,1,frequente
CLI041,45,5342,10,450.93,11,frequente
CLI042,28,5908,7,398.62,2,frequente
CLI043,40,6291,9,546.8,4,frequente
CLI044,24,5330,11,487.94,5,frequente
CLI045,42,5913,11,335.28,5,frequente
CLI046,41,5318,9,512.94,13,frequente
CLI047,43,6248,7,378.77,2,frequente
CLI048,42,6240,9,358.08,6,frequente
CLI049,29,5046,9,352.73,5,frequente
CLI050,36,5168,7,567.1,3,frequente
CLI051,28,6947,8,376.6,1,frequente
CLI052,30,5601,8,306.8,7,frequente
CLI053,34,7078,8,209.23,10,frequente
CLI054,18,7261,7,401.56,10,frequente
CLI055,42,6448,8,452.41,7,frequente
CLI056,35,4941,7,304.44,12,frequente
CLI057,38,6064,9,399.27,1,frequente
CLI058,42,8244,10,411.58,4,frequente
CLI059,33,5267,9,443.41,1,frequente
CLI060,44,4510,9,351.13,6,frequente
CLI061,62,9889,4,1087.54,25,premium
CLI062,37,10690,5,1138.77,23,premium
CLI063,50,10944,5,1105.77,21,premium
CLI064,41,11341,5,1242.14,17,premium
CLI065,46,10530,5,1197.28,23,premium
CLI066,49,14745,4,1033.42,13,premium
CLI067,53,11892,6,1096.65,31,premium
CLI068,29,8950,5,1148.11,23,premium
CLI069,48,10817,3,1253.78,15,premium
CLI070,62,11973,5,1087.77,17,premium
CLI071,59,15287,5,1227.24,14,premium
CLI072,51,12010,3,1010.9,19,premium
CLI073,53,10977,5,1318.14,16,premium
CLI074,46,9327,6,1255.76,15,premium
CLI075,43,12755,5,1404.58,16,premium
CLI076,49,11448,3,1095.28,24,premium
CLI077,44,9623,3,1189.45,32,premium
CLI078,34,9460,5,1038.35,15,premium
CLI079,35,12830,5,1293.56,11,premium
CLI080,38,11491,5,897.86,9,premium
CLI081,48,10911,5,1134.74,15,premium
CLI082,61,11039,6,1215.14,11,premium
CLI083,59,12393,5,1133.48,16,premium
CLI084,41,11091,3,1025.33,15,premium
CLI085,59,10515,3,1125.25,28,premium
CLI086,41,11315,4,1124.33,7,premium
CLI087,50,10110,5,1197.2,18,premium
CLI088,57,13523,4,1049.27,25,premium
CLI089,40,10696,5,1053.89,9,premium
CLI090,32,11378,6,1283.21,12,premium
