loja_id,faturamento_mensal,clientes_dia,ticket_medio,taxa_conversao_pct,estoque_medio_itens,perfil_referencia
LOJ001,51436,30,55.17,23.6,872,pequeno_movimento
LOJ002,42325,34,57.15,21.9,672,pequeno_movimento
LOJ003,38222,24,51.17,16.1,762,pequeno_movimento
LOJ004,43704,43,60.65,16.5,1050,pequeno_movimento
LOJ005,46489,44,46.44,20.5,972,pequeno_movimento
LOJ006,58364,36,54.01,15.2,891,pequeno_movimento
LOJ007,58569,33,46.29,14.7,1026,pequeno_movimento
LOJ008,43917,30,31.88,16.5,884,pequeno_movimento
LOJ009,57487,46,46.01,11.6,938,pequeno_movimento
LOJ010,58099,32,44.45,17.7,762,pequeno_movimento
LOJ011,41209,45,48.56,15.8,1025,pequeno_movimento
LOJ012,48684,37,51.92,8.9,835,pequeno_movimento
LOJ013,53303,36,47.31,22.6,406,pequeno_movimento
LOJ014,49169,49,55.82,21.9,1034,pequeno_movimento
LOJ015,60041,40,54.92,9.8,824,pequeno_movimento
LOJ016,40173,35,34.9,17.8,947,pequeno_movimento
LOJ017,47903,38,39.02,16.1,957,pequeno_movimento
LOJ018,36181,38,49.07,14.9,1153,pequeno_movimento
LOJ019,47783,28,56.98,13.8,837,pequeno_movimento
LOJ020,49164,30,42.37,16.9,851,pequeno_movimento
LOJ021,36670,36,46.14,18.2,956,pequeno_movimento
LOJ022,48882,42,30.44,11.7,798,pequeno_movimento
LOJ023,62496,36,49.54,21.3,933,pequeno_movimento
LOJ024,33832,39,48.3,18.3,750,pequeno_movimento
LOJ025,38592,44,49.86,11.5,564,pequeno_movimento
LOJ026,38794,47,51.51,17.4,846,pequeno_movimento
LOJ027,54195,51,44.91,19.5,784,pequeno_movimento
LOJ028,53593,29,53.02,19,710,pequeno_movimento
LOJ029,54311,40,33.75,12.7,939,pequeno_movimento
LOJ030,43705,20,51.29,19.6,687,pequeno_movimento
LOJ031,138778,150,53.04,24.6,1859,alto_volume
LOJ032,150328,154,39.01,31.7,1771,alto_volume
LOJ033,143082,169,23.72,26.6,1997,alto_volume
LOJ034,183490,160,46.31,38.2,1759,alto_volume
LOJ035,132354,148,44.68,33.1,2143,alto_volume
LOJ036,157226,152,38.6,34.9,2164,alto_volume
LOJ037,158123,176,40.63,35,1849,alto_volume
LOJ038,158339,149,41.17,27.7,2081,alto_volume
LOJ039,129239,139,42.85,31.6,2605,alto_volume
LOJ040,151685,135,36.32,31.6,1796,alto_volume
LOJ041,163034,169,40.35,34.8,2131,alto_volume
LOJ042,126429,147,31.85,37,1729,alto_volume
LOJ043,167000,149,38.05,20.3,2204,alto_volume
LOJ044,145626,176,42.14,31.5,1749,alto_volume
LOJ045,141742,153,38.24,29.5,1651,alto_volume
LOJ046,150212,162,39.8,23.9,1791,alto_volume
LOJ047,144698,132,47.35,30.1,2019,alto_volume
LOJ048,151137,160,40.81,33.6,1827,alto_volume
LOJ049,156843,174,41.09,28.1,2172,alto_volume
LOJ050,132228,177,38.59,42.5,2072,alto_volume
LOJ051,127405,127,43.47,36.1,1925,alto_volume
LOJ052,145869,162,36.36,28.5,2454,alto_volume
LOJ053,153888,168,20.94,37.9,2181,alto_volume
LOJ054,138830,150,44.63,27.7,2060,alto_volume
LOJ055,144187,145,42.41,31.9,1895,alto_volume
LOJ056,151059,175,35.81,29,2232,alto_volume
LOJ057,148679,139,44.77,32,2579,alto_volume
LOJ058,146670,134,49.04,32.2,1806,alto_volume
LOJ059,168335,154,34.89,32,2292,alto_volume
LOJ060,123148,122,39.19,29.8,2425,alto_volume
LOJ061,256482,72,116.07,23.4,1351,alto_valor
LOJ062,240307,88,148.06,22.9,1239,alto_valor
LOJ063,214354,91,121.27,29.6,1396,alto_valor
LOJ064,251432,57,111.17,21,1423,alto_valor
LOJ065,221970,65,131.24,21.8,1277,alto_valor
LOJ066,260518,102,100.17,22.6,1498,alto_valor
LOJ067,247360,76,121.36,31.2,1661,alto_valor
LOJ068,224925,96,130.86,23.8,1758,alto_valor
LOJ069,218726,86,116.45,25.4,1457,alto_valor
LOJ070,262944,66,115.64,24.8,1809,alto_valor
LOJ071,220373,59,146.05,25.8,1447,alto_valor
LOJ072,215567,60,126.53,22,1701,alto_valor
LOJ073,218001,72,115.61,25.6,1830,alto_valor
LOJ074,249585,86,100.2,28.8,1387,alto_valor
LOJ075,207288,60,119.35,25.8,1410,alto_valor
LOJ076,198693,83,117.14,21.8,1344,alto_valor
LOJ077,214464,91,134.07,20.2,1425,alto_valor
LOJ078,265820,68,97.48,28,1290,alto_valor
LOJ079,182625,90,126.88,23.9,1527,alto_valor
LOJ080,195833,71,130.75,28.3,1665,alto_valor
LOJ081,203119,87,128.31,25.7,1259,alto_valor
LOJ082,231595,63,167.3,27.4,1364,alto_valor
LOJ083,274314,69,116.28,28.9,1521,alto_valor
LOJ084,283133,70,130.16,33.8,1373,alto_valor
LOJ085,248073,76,125.85,25.8,1399,alto_valor
LOJ086,272757,99,127.66,29.2,1930,alto_valor
LOJ087,229521,85,112.34,21.2,1621,alto_valor
LOJ088,230679,63,104.29,21.9,1488,alto_valor
LOJ089,209240,61,110.26,29.3,1525,alto_valor
LOJ090,273246,60,110.92,27.4,1547,alto_valor
