estudante_id,horas_estudo_semana,frequencia_pct,media_notas,horas_sono,faltas_semestre,perfil_referencia
EST001,4.5,70.4,4.3,6.7,10,precisa_apoio
EST002,4.8,59.9,5.7,5.5,14,precisa_apoio
EST003,4.5,71.9,4.8,5.9,11,precisa_apoio
EST004,4.4,58.3,4.5,6.1,11,precisa_apoio
EST005,7.6,63.7,4,5.9,14,precisa_apoio
EST006,3.2,75.7,3.8,6.9,12,precisa_apoio
EST007,4.3,50.6,4.3,5.4,11,precisa_apoio
EST008,6.3,73.6,5.2,5.7,10,precisa_apoio
EST009,6,74.8,5.7,6.5,13,precisa_apoio
EST010,6.2,75.8,4.5,6,6,precisa_apoio
EST011,3,62.9,5.5,7.4,9,precisa_apoio
EST012,4.8,73.9,5.5,6.1,14,precisa_apoio
EST013,6,68.6,5.7,5.6,17,precisa_apoio
EST014,5.5,85.3,4.3,4.4,14,precisa_apoio
EST015,3.1,59,4.2,5.4,14,precisa_apoio
EST016,6.5,59.2,4.8,5.9,13,precisa_apoio
EST017,4.2,72,4.4,6.9,13,precisa_apoio
EST018,2.9,59.5,4.7,6.1,13,precisa_apoio
EST019,6.8,68.7,5.1,5.9,11,precisa_apoio
EST020,4,59.7,5.2,6.2,15,precisa_apoio
EST021,3.7,54,5.7,5.8,11,precisa_apoio
EST022,6.3,58.5,4.5,5.4,12,precisa_apoio
EST023,6,58.7,4.7,5.8,14,precisa_apoio
EST024,6.3,54.8,5.8,5.9,11,precisa_apoio
EST025,3.2,86.1,6.7,5.4,18,precisa_apoio
EST026,5.2,64.6,5.6,6.5,17,precisa_apoio
EST027,5.9,61.7,6.5,5.4,16,precisa_apoio
EST028,5.3,75,3.7,6.4,13,precisa_apoio
EST029,4,66,4.1,6.2,12,precisa_apoio
EST030,4.8,80.4,5.5,5,10,precisa_apoio
EST031,4.7,81.3,7.2,6.9,7,regular
EST032,10.4,82.6,6.3,7,5,regular
EST033,7.9,83,6.2,7.2,6,regular
EST034,6.6,87.7,7.3,7.5,5,regular
EST035,7.7,82.6,7.8,6.6,6,regular
EST036,10.9,84.8,7.4,6.4,4,regular
EST037,7.6,85.1,6.1,7,7,regular
EST038,7,76.6,6.7,7.4,6,regular
EST039,12.4,87.3,6.3,6.4,8,regular
EST040,9.4,88.4,7.1,5.9,3,regular
EST041,9.9,77.1,7.2,7.7,5,regular
EST042,10.4,79.1,7.7,7.6,8,regular
EST043,10.6,86.9,6.8,6.1,3,regular
EST044,9.6,80.7,7.6,7.1,5,regular
EST045,6.4,83.4,6.2,7,5,regular
EST046,10.4,89.6,5.9,7.6,3,regular
EST047,11.9,77.1,6.6,6.5,8,regular
EST048,10.9,95.4,7.1,7.1,5,regular
EST049,7.3,80.8,6.9,8.3,5,regular
EST050,10.6,89.1,6.4,7.8,4,regular
EST051,9.5,81.2,7.5,6.2,2,regular
EST052,7.7,83.2,7.9,6.7,5,regular
EST053,8.3,89,7.1,6.1,5,regular
EST054,9,91.2,7.2,6.7,6,regular
EST055,7.8,78.2,6.3,7.5,2,regular
EST056,9,98.2,7.5,6.7,7,regular
EST057,14.1,85.6,6.6,6.6,4,regular
EST058,8.9,82.6,7,7.4,7,regular
EST059,8.6,81.6,7.6,7.3,6,regular
EST060,8.1,81.2,6.6,7.1,5,regular
EST061,15.1,95.5,8.8,7.7,2,alto_desempenho
EST062,20.5,95.2,9.4,8,1,alto_desempenho
EST063,14.3,95.3,9.5,7,4,alto_desempenho
EST064,17.8,96.3,9.1,8.2,1,alto_desempenho
EST065,15,92.9,8.9,8.3,0,alto_desempenho
EST066,14.5,100,8.5,6.9,1,alto_desempenho
EST067,13.7,95.7,8.7,8,2,alto_desempenho
EST068,13.3,91.2,9.3,7.7,2,alto_desempenho
EST069,17,97.9,8.3,8.4,1,alto_desempenho
EST070,15.3,95.2,9.9,8.4,1,alto_desempenho
EST071,18.3,100,8.4,7.7,2,alto_desempenho
EST072,15.7,97.3,9.1,8,2,alto_desempenho
EST073,17.7,97.1,9.4,8.3,1,alto_desempenho
EST074,13,94.9,9.5,8,1,alto_desempenho
EST075,14.8,100,9,7.4,1,alto_desempenho
EST076,15.6,93,9.5,8.5,2,alto_desempenho
EST077,15.3,95.5,10,7.4,5,alto_desempenho
EST078,17.2,94.7,8.4,7.4,0,alto_desempenho
EST079,13.5,99.8,8.1,7.5,3,alto_desempenho
EST080,14.7,98,8.9,6.3,4,alto_desempenho
EST081,15,95.4,8.9,8.3,1,alto_desempenho
EST082,15,97.1,9.5,7.6,3,alto_desempenho
EST083,18.7,94.4,8.6,7.3,1,alto_desempenho
EST084,18.3,95.7,8.8,8.3,0,alto_desempenho
EST085,18.4,97,9.2,8.2,2,alto_desempenho
EST086,17.8,96.3,8.4,8.6,0,alto_desempenho
EST087,15.7,95.6,9.2,9,1,alto_desempenho
EST088,15.7,88.9,8.5,7.7,2,alto_desempenho
EST089,19.1,89.8,9,7.9,1,alto_desempenho
EST090,15.5,87.9,8.7,7.6,1,alto_desempenho
