registro_id,temperatura_c,vibracao_mm_s,pressao_bar,consumo_kw,ruido_db,condicao_referencia
REG001,59.9,1.84,5.76,27.3,66.9,normal
REG002,61.6,1.43,6.05,22.1,65.8,normal
REG003,58.8,2.19,5.55,21.7,63.2,normal
REG004,63,1.77,5.81,23.4,69.9,normal
REG005,53.2,1.87,6.15,22.5,67.3,normal
REG006,60,2.17,6.42,24.3,69.7,normal
REG007,59.2,1.71,6.11,24.6,72.8,normal
REG008,63.4,1.93,5.75,25.3,67.5,normal
REG009,63.9,2.14,5.89,22.5,72.8,normal
REG010,62.9,2.59,5.78,21.1,70.4,normal
REG011,58,2.11,5.3,26.7,68.6,normal
REG012,63.5,2.61,6.37,23.4,70.2,normal
REG013,59.3,2.17,5.82,22.2,61.4,normal
REG014,55.5,2.94,6.07,23.9,61.3,normal
REG015,60.4,1.95,5.59,22.1,66,normal
REG016,59.6,2.28,5.88,27.1,70.7,normal
REG017,58.8,2.28,5.97,24.9,65.5,normal
REG018,60.8,1.75,6.29,18.9,71.4,normal
REG019,60.7,2,5.74,25.8,66.5,normal
REG020,64,2.31,6.17,21,62.6,normal
REG021,54.7,2.01,5.84,25.4,69.3,normal
REG022,58.7,2.22,6.3,25.3,69,normal
REG023,64.4,2.72,5.8,22.4,68.5,normal
REG024,59.1,2.23,6.06,25,68.3,normal
REG025,64.2,2.07,5.99,24.9,66,normal
REG026,61.7,2.03,5.7,27.1,67.2,normal
REG027,59.4,2.28,5.78,27.1,63.4,normal
REG028,60,2.11,6.16,25,65,normal
REG029,56.9,2.37,6.06,27,63.8,normal
REG030,61.9,1.87,6.11,26.6,65.2,normal
REG031,88,3.32,7.47,37.4,76.7,sobrecarga
REG032,86.6,4.07,7.53,32.9,78.1,sobrecarga
REG033,84.9,4.15,7.26,38.6,79.2,sobrecarga
REG034,89.1,4.01,7.81,38,76.4,sobrecarga
REG035,79.2,4.31,7.06,35.3,78.8,sobrecarga
REG036,83.1,3.46,7.46,38.9,77.1,sobrecarga
REG037,79.6,4.43,7.19,36.4,79.7,sobrecarga
REG038,85,3.97,7.42,39.9,76.3,sobrecarga
REG039,81.6,4.42,7.84,38.3,74.5,sobrecarga
REG040,86.8,5.15,7.93,37.6,79.9,sobrecarga
REG041,75.1,4.36,7.57,39.8,78.8,sobrecarga
REG042,84.8,4.74,7.49,36.6,74.7,sobrecarga
REG043,85.7,3.87,7.21,40.2,76.8,sobrecarga
REG044,91.1,3.98,6.94,37.5,73.2,sobrecarga
REG045,84.4,4.21,7.68,35.6,77.1,sobrecarga
REG046,88.8,3.14,7.53,37.3,83.1,sobrecarga
REG047,85.3,2.88,7.22,35.9,78.8,sobrecarga
REG048,81.9,3.92,8.16,39.8,75.7,sobrecarga
REG049,85,2.97,7.72,35.1,72.5,sobrecarga
REG050,84.6,3.96,7.36,39.2,80.7,sobrecarga
REG051,88.7,4.98,7.3,38.1,78.1,sobrecarga
REG052,89.4,3.64,7.62,34.4,77.4,sobrecarga
REG053,88.4,3.63,7.39,37.2,78.7,sobrecarga
REG054,84.5,3.94,7.07,34.5,75.6,sobrecarga
REG055,76.4,3.73,8.04,38.3,82.2,sobrecarga
REG056,86.9,4.79,7.73,39.9,79.1,sobrecarga
REG057,85.3,4.07,6.45,39.4,75.9,sobrecarga
REG058,83.1,3.08,6.69,32.4,78.8,sobrecarga
REG059,86.5,3.6,7.79,46.2,80.4,sobrecarga
REG060,78.9,4.13,7.63,37.8,78.8,sobrecarga
REG061,73.7,7.22,4.9,27.8,84.5,desgaste
REG062,67.7,7.81,4.63,30.6,88.9,desgaste
REG063,67.2,6.65,4.88,31.1,91.3,desgaste
REG064,67.1,6.85,5.31,29.1,84.8,desgaste
REG065,68.3,7.76,5.06,32.7,82.9,desgaste
REG066,66.9,6.85,5.24,29,84.8,desgaste
REG067,65.9,6.59,5.39,31.5,87.4,desgaste
REG068,73.3,7.32,5.13,35.9,93.6,desgaste
REG069,68.1,7.55,4.54,28.9,91,desgaste
REG070,60.3,6.59,4.83,30.6,87.7,desgaste
REG071,69.7,7.4,5.17,27.6,85.4,desgaste
REG072,71.4,6.73,5.25,29.2,84.3,desgaste
REG073,68.6,6.11,5.12,31.1,85.8,desgaste
REG074,66.4,8.07,5.04,31.7,86.8,desgaste
REG075,60.7,4.52,4.76,29.7,92.8,desgaste
REG076,68,7.13,5.02,29.2,86.9,desgaste
REG077,62.5,8.16,4.67,29.6,90.5,desgaste
REG078,69.3,6.86,5.44,30.5,88.6,desgaste
REG079,70.2,7.64,5.38,28.9,84.7,desgaste
REG080,71.5,6.89,5.16,34.9,81,desgaste
REG081,62.8,7.4,4.8,24.3,86.8,desgaste
REG082,71.8,8,5.08,34.1,90.7,desgaste
REG083,71.7,6.29,5.53,31.7,83.9,desgaste
REG084,62.6,6.98,5.43,30.3,85.6,desgaste
REG085,71.5,6.16,5.11,29.1,94,desgaste
REG086,70.4,7.6,5.28,27.2,87.8,desgaste
REG087,68.6,6.78,5.07,28,88.2,desgaste
REG088,75,6.99,4.67,28.6,85.6,desgaste
REG089,73,9.07,5.11,28.8,93.1,desgaste
REG090,68,7.41,5.43,34.2,83.6,desgaste
