cliente_id,renda_anual,compras_mes,ticket_medio,tempo_site_min,taxa_cliques_pct,perfil_referencia
CLI104,74392,4.8,236.46,48.2,41,alto_engajamento
CLI129,128069,4.4,187.81,47.6,38,alto_engajamento
CLI062,34308,8.1,141.93,17.6,17.5,recorrente
CLI014,100463,1.9,76.71,25.6,15,explorador
CLI057,115215,9.2,139.15,21.2,27.2,recorrente
CLI059,70592,9.8,147.78,13.1,24.8,recorrente
CLI056,40387,8.4,139.98,18.2,20.5,recorrente
CLI013,72664,3.6,63.33,29.2,8.5,explorador
CLI050,138653,1.9,60.84,25.8,12,explorador
CLI069,99261,7.7,141.38,17.3,21,recorrente
CLI049,144066,3.3,71.23,22.3,10,explorador
CLI132,46740,3.8,180.71,48.4,44,alto_engajamento
CLI029,60457,1.3,70.33,24,12.1,explorador
CLI114,39432,4.9,217.43,45.2,30.6,alto_engajamento
CLI039,54266,3.1,60.41,25.2,11.7,explorador
CLI097,160421,9.6,123.5,16,24.1,recorrente
CLI037,34159,1.5,95.15,28.3,11.8,explorador
CLI017,37132,2.5,79.65,30.6,10.5,explorador
CLI145,97930,5.4,215.88,45,40.4,alto_engajamento
CLI046,148219,1.4,81.41,36.4,10.8,explorador
CLI022,75071,2.1,67.77,33.4,13.1,explorador
CLI004,86639,1.6,75.73,39.1,12.9,explorador
CLI087,97404,7.6,114.49,14.6,31.9,recorrente
CLI121,23525,5.4,209.58,44.1,36.8,alto_engajamento
CLI044,109444,2.1,80.79,40.7,10.9,explorador
CLI147,77555,6.5,198.47,47.3,35.7,alto_engajamento
CLI003,97568,1.6,69.89,31.2,10.9,explorador
CLI065,104875,10.6,109.53,14.5,25.8,recorrente
CLI089,144094,8.8,98.55,17.3,23.5,recorrente
CLI011,48789,2.5,74.04,28.3,10.2,explorador
CLI010,87526,3,81.39,34.2,12.2,explorador
CLI123,135940,4.9,217.07,42.3,41.3,alto_engajamento
CLI136,91488,5.9,216.68,44.3,47,alto_engajamento
CLI143,145835,3.3,205.41,44.3,43.9,alto_engajamento
CLI081,116437,10.3,134.41,17.9,25.8,recorrente
CLI016,132374,1.4,66.46,31.3,12.3,explorador
CLI138,39925,4.5,271.81,47.6,35.6,alto_engajamento
CLI126,122053,5.7,216.38,45.7,46.2,alto_engajamento
CLI144,154952,4.6,198.21,44.9,31.3,alto_engajamento
CLI141,39106,5.7,228.76,49.5,37.6,alto_engajamento
CLI053,91490,7.9,138.55,15.7,23.7,recorrente
CLI066,23163,6.1,151.95,18.8,25.7,recorrente
CLI058,64286,9.2,146.05,18.6,28.2,recorrente
CLI012,100049,2.6,88.1,29,14,explorador
CLI031,123191,1.6,88.31,26.3,13.1,explorador
CLI075,48268,8,120.59,16.6,18.9,recorrente
CLI021,171297,2.6,68.32,27.6,11.2,explorador
CLI117,149171,5,228.74,49.8,34.9,alto_engajamento
CLI149,27324,5.5,219.97,51.1,43.8,alto_engajamento
CLI122,163950,6.8,197.11,50.9,33.3,alto_engajamento
CLI140,41959,4.2,178.54,45.6,38.6,alto_engajamento
CLI086,51802,9.7,119.66,17.1,24.3,recorrente
CLI035,121384,1.9,67.47,34.1,12.4,explorador
CLI041,125872,1.4,90.15,36.3,10.6,explorador
CLI076,63176,11.9,145.53,17.2,16.4,recorrente
CLI078,72253,11.5,131.79,20.1,25.2,recorrente
CLI001,79650,2.5,73.24,31.6,11.5,explorador
CLI019,47439,1.4,77.49,27.1,14.5,explorador
CLI032,109711,2.3,87.35,37.3,11.9,explorador
CLI112,35753,4.6,212.64,42.5,36.3,alto_engajamento
CLI096,90549,7.5,109.96,17,23.6,recorrente
CLI038,108527,1.6,70.58,25.7,12.3,explorador
CLI067,41950,8.8,144.69,16.5,20.9,recorrente
CLI048,163967,2.8,60.93,27,12.7,explorador
CLI111,131909,5.9,196.13,45.2,41.1,alto_engajamento
CLI094,109901,6.7,122.49,12.5,21.3,recorrente
CLI071,120372,12.7,127.3,15.4,24.4,recorrente
CLI150,168366,3.1,230.53,42.5,33.4,alto_engajamento
CLI133,101357,4.8,188.03,49.2,27.6,alto_engajamento
CLI125,84792,5.3,226.66,58.3,44.4,alto_engajamento
CLI092,177752,10.6,137.04,21.4,25.2,recorrente
CLI084,135083,10.4,117.55,15.2,27.9,recorrente
CLI108,74517,4.7,252.2,35.5,33.3,alto_engajamento
CLI124,121662,3.9,256.78,40.9,48.6,alto_engajamento
CLI088,92627,8.7,152.05,20.8,29.1,recorrente
CLI002,179452,2.5,59.43,22.5,15.6,explorador
CLI018,71394,2.6,72.24,31.2,11.3,explorador
CLI120,163967,5.3,217.7,42.7,34.8,alto_engajamento
CLI116,148881,6.3,212.56,41.2,38.5,alto_engajamento
