id_patrulheiro,nivel,tempo_jogo_horas,medalhas_pt,raca,quest_sucess,ki_maximo,stamina_maxima,mentor_atual
PT-0001,76,269.4,413,Saiyan,57.03,94,165,dodoria
PT-0002,49,156.0,326,Human,27.95,47,66,tien
PT-0003,85,258.4,840,Namekian,46.13,150,109,lord slug
PT-0004,89,277.8,210,Namekian,58.26,85,55,tien
PT-0005,31,99.1,271,Human,27.43,0,87,vegeta
PT-0006,44,95.4,405,Human,31.53,56,106,raditz
PT-0007,73,174.9,1298,Human,45.32,108,61,yamcha
PT-0008,64,156.5,928,Human,51.44,95,98,captain ginyu
PT-0009,70,125.6,184,Saiyan,40.54,99,90,lord slug
PT-0010,53,114.5,1109,Saiyan,40.77,132,83,dodoria
PT-0011,88,155.7,1107,Saiyan,52.17,56,124,gohan (adult) and videl
PT-0012,86,251.6,244,Majin,60.96,82,111,whis
PT-0013,71,189.8,109,Saiyan,55.18,149,74,gohan (adult) and videl
PT-0014,93,258.8,472,Saiyan,42.52,26,128,goku
PT-0015,79,178.4,966,Frieza,59.96,91,130,pan
PT-0016,53,59.6,1280,Majin,36.31,122,45,gotenks
PT-0017,77,203.7,292,Saiyan,52.69,140,84,gohan (kid)
PT-0018,51,104.9,1410,Saiyan,32.89,97,0,piccolo
PT-0019,88,306.4,129,Majin,58.17,128,115,lord slug
PT-0020,69,210.9,395,Saiyan,68.01,44,127,gotenks
PT-0021,66,235.7,384,Human,47.42,138,66,gohan (adult) and videl
PT-0022,56,227.4,984,Human,38.72,27,75,android 18
PT-0023,94,288.2,1074,Saiyan,55.74,60,87,gotenks
PT-0024,67,173.3,874,Majin,35.05,99,62,cell
PT-0025,61,70.2,219,Saiyan,55.99,59,82,android 16
PT-0026,63,111.4,827,Human,47.7,89,43,krillin
PT-0027,81,181.6,669,Saiyan,44.01,112,77,dodoria
PT-0028,77,157.1,181,Saiyan,42.67,163,48,krillin
PT-0029,78,129.8,143,Saiyan,51.32,110,108,tien
PT-0030,79,280.8,919,Namekian,59.06,68,95,frieza
PT-0031,113,191.9,442,Saiyan,55.99,147,92,krillin
PT-0032,62,230.6,228,Saiyan,53.71,46,75,whis
PT-0033,60,175.2,435,Saiyan,43.27,115,63,zarbon
PT-0034,54,129.2,613,Majin,34.16,76,114,cell
PT-0035,82,257.8,469,Saiyan,49.06,112,70,yamcha
PT-0036,93,200.1,194,Frieza,71.19,33,121,turles
PT-0037,68,218.5,1527,Human,36.09,0,49,dodoria
PT-0038,53,117.6,900,Human,35.34,12,100,frieza
PT-0039,54,170.3,403,Human,49.22,143,109,android 16
PT-0040,83,173.3,413,Saiyan,54.93,50,131,frieza
PT-0041,85,172.7,611,Frieza,47.67,127,148,frieza
PT-0042,81,259.6,250,Frieza,60.12,69,98,majin buu
PT-0043,57,166.9,598,Saiyan,50.9,66,119,gohan (adult) and videl
PT-0044,75,182.8,222,Human,52.65,88,147,gohan (kid)
