id_patrulheiro,nivel,tempo_jogo_horas,medalhas_pt,raca,quest_sucess,ki_maximo,stamina_maxima,mentor_atual
PT-0001,76.0,269.4,413.0,Saiyan,57.03,94.0,165.0,dodoria 
PT-0002,49.0,156.0,326.0,Human,27.95,47.0,66.0,tien
PT-0003,85.0,258.4,840.0,Namekian,46.13,150.0,109.0,lord slug
PT-0004,89.0,277.8,210.0,Namekian  ,58.26,85.0,,tien
PT-0005,31.0,99.1,271.0,Human,27.43,0.0,87.0,vegeta
PT-0006,44.0,95.4,405.0,Human,31.53,56.0,106.0,raditz
PT-0007,73.0,174.9,1298.0,Human,45.32,108.0,61.0,yamcha
PT-0008,64.0,156.5,928.0,Human,51.44,95.0,98.0,captain ginyu
PT-0009,70.0,125.6,184.0,Saiyan,40.54,99.0,90.0,lord slug
PT-0010,-1.0,114.5,1109.0,Saiyan,40.77,132.0,83.0,dodoria
PT-0011,88.0,155.7,1107.0,Saiyan,52.17,56.0,124.0,gohan (adult) and videl
PT-0012,86.0,251.6,244.0,Majin,60.96,82.0,111.0,whis
PT-0013,71.0,189.8,109.0,Saiyan,55.18,149.0,74.0,gohan (adult) and videl
PT-0014,93.0,258.8,472.0,Saiyan,42.52,26.0,128.0,goku  
PT-0015,79.0,178.4,966.0, Frieza  ,59.96,91.0,130.0,pan
PT-0016,53.0,59.6,1280.0,Majin,36.31,122.0,45.0,gotenks
PT-0017,77.0,203.7,292.0,Saiyan,52.69,140.0,84.0,gohan (kid)
PT-0018,51.0,104.9,1410.0,   Saiyan ,32.89,97.0,0.0,  piccolo
PT-0019,88.0,306.4,129.0,Majin,58.17,128.0,115.0,lord slug
PT-0020,69.0,210.9,395.0,  Saiyan ,68.01,44.0,127.0,gotenks
PT-0021,66.0,235.7,384.0,,47.42,138.0,66.0,gohan (adult) and videl
PT-0022,56.0,227.4,984.0,Human,38.72,27.0,75.0,android 18
PT-0023,94.0,288.2,1074.0,,55.74,60.0,87.0,gotenks
PT-0024,67.0,173.3,874.0,Majin,35.05,99.0,62.0,   cell 
PT-0025,61.0,70.2,219.0,Saiyan,55.99,59.0,82.0,android 16
PT-0026,63.0,111.4,827.0,Human,47.7,89.0,43.0, krillin
PT-0027,81.0,181.6,,Saiyan,44.01,112.0,,dodoria
PT-0028,77.0,157.1,181.0,  Saiyan  ,42.67,163.0,48.0,krillin
PT-0029,78.0,129.8,143.0,,51.32,110.0,108.0,tien
PT-0030,79.0,280.8,919.0,Namekian,59.06,68.0,95.0,frieza
PT-0031,113.0,191.9,442.0,Saiyan,55.99,147.0,92.0,krillin
PT-0032,62.0,230.6,228.0,   Saiyan  ,53.71,46.0,75.0,whis
PT-0033,60.0,175.2,435.0,Saiyan,43.27,115.0,63.0,  zarbon
PT-0034,54.0,129.2,613.0,Majin,34.16,76.0,114.0,cell
PT-0035,82.0,257.8,469.0,Saiyan,49.06,112.0,70.0,yamcha
PT-0036,,200.1,194.0,Frieza   ,71.19,33.0,121.0,turles
PT-0037,300.0,218.5,1527.0,Human,36.09,0.0,49.0,dodoria
PT-0038,53.0,117.6,900.0,Human,35.34,12.0,100.0,frieza
PT-0039,54.0,170.3,403.0,Human,49.22,143.0,109.0,android 16
PT-0040,83.0,173.3,413.0,Saiyan,54.93,50.0,131.0,frieza
PT-0041,85.0,172.7,611.0,Frieza,47.67,127.0,148.0,frieza
PT-0042,81.0,259.6,,Frieza,60.12,69.0,98.0,majin buu
PT-0043,57.0,166.9,598.0,Saiyan  ,50.9,66.0,119.0,   gohan (adult) and videl 
PT-0044,75.0,182.8,222.0,  Human ,52.65,88.0,147.0,gohan (kid)   
PT-0045,-1.0,196.1,472.0,Saiyan,43.9,153.0,36.0,whis
PT-0046,74.0,133.8,244.0,Human,45.93,113.0,58.0,nappa
PT-0047,,267.2,252.0,Majin,57.08,115.0,31.0,gohan (kid)
PT-0048,74.0,151.1,1323.0,Frieza,39.1,141.0,124.0,   gohan (kid)
PT-0049,84.0,165.9,511.0,Saiyan,64.22,72.0,28.0,nappa
PT-0050,71.0,121.1,558.0, Human   ,62.0,130.0,9.0,gohan (kid)
PT-0051,-5.0,156.2,147.0, Majin   ,48.51,127.0,39.0,gotenks
PT-0052,250.0,158.5,344.0,Saiyan,56.05,132.0,19.0,frieza
PT-0053,41.0,87.5,650.0,Human,45.89,57.0,70.0,gohan (future)
PT-0054,64.0,142.9,554.0,Human,61.24,64.0,31.0,tien
PT-0055,61.0,111.9,135.0,Majin,56.86,44.0,5.0,android 18
PT-0056,57.0,157.8,558.0,Frieza,28.92,43.0,68.0,tien
PT-0057,64.0,75.3,614.0,Saiyan,43.08,45.0,75.0,dodoria
PT-0058,100.0,296.3,1064.0, Saiyan,64.01,125.0,25.0,vegeta
PT-0059,53.0,177.1,333.0,Saiyan,37.25,63.0,39.0,cell
PT-0060,89.0,202.2,128.0,Saiyan,69.86,118.0,89.0,majin buu
PT-0061,36.0,121.6,271.0,Human,47.44,78.0,41.0,raditz
PT-0062,63.0,99.5,255.0,Namekian,38.67,38.0,,piccolo
PT-0063,73.0,83.9,767.0,Saiyan,47.9,45.0,, zarbon
PT-0064,82.0,255.1,97.0,Human,46.8,86.0,173.0,raditz  
PT-0065,84.0,257.5,377.0,Saiyan,52.04,66.0,76.0,android 16
PT-0066,86.0,269.3,1159.0,Saiyan,52.6,64.0,37.0,captain ginyu  
PT-0067,63.0,87.2,495.0,Namekian,52.83,148.0,65.0,gotenks
PT-0068,61.0,164.2,844.0,Human,37.29,17.0,80.0,bardock
PT-0069,87.0,199.4,184.0,Saiyan,33.87,181.0,89.0,vegeta
