idade,renda,tempo_emprego,score_credito,cidade,aprovado
,3090.86,9.0,640.0,Outra,0
26.0,4460.53,8.0,678.0,SP,1
47.0,1936.53,6.0,806.0,SP,1
49.0,4058.96,15.0,816.0,SP,1
18.0,8191.31,4.0,656.0,SP,1
22.0,4271.75,17.0,663.0,RJ,0
40.0,2923.99,6.0,736.0,Outra,1
34.0,2756.74,1.0,582.0,Outra,0
38.0,2879.43,7.0,677.0,RJ,1
28.0,3089.35,2.0,648.0,RJ,0
49.0,2921.89,3.0,675.0,Outra,1
47.0,5230.91,9.0,583.0,Outra,0
39.0,,10.0,523.0,SP,0
52.0,5104.61,4.0,484.0,RJ,0
44.0,2919.42,12.0,561.0,Outra,0
28.0,4103.63,13.0,613.0,SP,0
42.0,2085.69,14.0,627.0,RJ,0
26.0,6297.35,10.0,805.0,Outra,1
49.0,,14.0,738.0,,1
37.0,5333.78,0.0,573.0,Outra,0
36.0,1751.73,5.0,678.0,MG,0
30.0,5029.64,3.0,617.0,SP,0
53.0,4155.49,8.0,627.0,SP,1
36.0,,4.0,665.0,RJ,0
33.0,3425.72,6.0,700.0,RJ,1
34.0,,16.0,623.0,,0
44.0,4448.11,6.0,735.0,RJ,1
42.0,3750.96,9.0,559.0,SP,0
43.0,3948.35,6.0,651.0,MG,0
43.0,6721.89,7.0,850.0,,1
64.0,,7.0,668.0,SP,1
33.0,,9.0,765.0,SP,1
32.0,3002.36,13.0,657.0,SP,1
28.0,3216.04,15.0,696.0,Outra,0
45.0,1574.28,9.0,645.0,RJ,0
52.0,3613.32,10.0,636.0,SP,1
37.0,6075.02,1.0,588.0,MG,0
,,7.0,684.0,RJ,1
28.0,4029.43,12.0,582.0,,0
46.0,2293.6,11.0,703.0,SP,1
47.0,2559.69,8.0,737.0,SP,1
45.0,6733.34,11.0,679.0,MG,1
,2713.1,9.0,627.0,SP,0
,4264.14,13.0,686.0,SP,1
39.0,1492.12,8.0,625.0,SP,0
,8006.77,5.0,725.0,RJ,1
48.0,4542.32,9.0,503.0,SP,0
41.0,3190.32,0.0,623.0,Outra,0
46.0,4487.25,9.0,491.0,SP,0
39.0,1836.43,0.0,530.0,,0
41.0,5896.65,0.0,759.0,RJ,1
46.0,2993.52,9.0,722.0,RJ,1
21.0,3159.5,9.0,592.0,SP,0
34.0,2775.97,1.0,530.0,Outra,0
32.0,2666.99,3.0,413.0,Outra,0
30.0,4734.36,14.0,607.0,SP,1
35.0,3886.09,5.0,844.0,SP,1
56.0,4643.79,18.0,685.0,Outra,1
28.0,3449.7,7.0,605.0,RJ,0
50.0,4363.11,9.0,687.0,SP,1
18.0,2868.42,15.0,525.0,SP,0
34.0,9446.31,8.0,626.0,MG,1
40.0,1710.31,2.0,658.0,MG,0
45.0,6108.41,6.0,643.0,RJ,1
,6409.64,7.0,713.0,Outra,1
48.0,2360.26,0.0,678.0,RJ,0
34.0,9444.36,6.0,703.0,SP,1
32.0,5420.65,3.0,595.0,RJ,0
48.0,5361.57,12.0,722.0,SP,1
36.0,3507.33,7.0,780.0,SP,1
23.0,3140.85,6.0,572.0,SP,0
24.0,3151.92,6.0,579.0,SP,0
27.0,4128.79,8.0,757.0,MG,1
44.0,6506.35,10.0,635.0,SP,1
40.0,3757.81,2.0,762.0,RJ,1
46.0,2298.13,2.0,615.0,RJ,0
33.0,5019.03,13.0,766.0,RJ,1
40.0,,5.0,661.0,MG,1
46.0,4649.88,0.0,671.0,Outra,1
34.0,4843.9,9.0,775.0,MG,1
43.0,3065.86,9.0,621.0,SP,1
30.0,2280.06,0.0,575.0,RJ,0
,2343.29,8.0,614.0,RJ,0
33.0,,11.0,686.0,SP,1
24.0,3853.08,9.0,525.0,SP,0
44.0,3335.73,10.0,701.0,SP,1
32.0,2841.27,0.0,607.0,RJ,0
