iter	Passed	Remaining
0	4	508
1	8	507
2	10	426
3	34	986
4	38	889
5	43	824
6	48	776
7	50	709
8	54	669
9	57	635
10	116	1152
11	121	1090
12	122	1012
13	127	961
14	131	917
15	134	874
16	137	834
17	140	798
18	144	768
19	149	745
20	162	766
21	166	741
22	170	718
23	172	690
24	176	670
25	179	650
26	183	632
27	187	617
28	191	600
29	197	592
30	201	579
31	204	562
32	207	546
33	210	532
34	213	517
35	216	504
36	219	491
37	221	478
38	224	467
39	227	455
40	230	443
41	237	441
42	241	431
43	242	418
44	249	416
45	254	408
46	260	404
47	263	395
48	267	387
49	269	376
50	279	378
51	299	391
52	311	393
53	314	384
54	319	377
55	323	369
56	331	366
57	336	359
58	340	352
59	345	345
60	352	340
61	357	334
62	365	331
63	372	326
64	375	317
65	380	311
66	388	306
67	397	303
68	403	298
69	407	290
70	413	285
71	419	279
72	424	273
73	428	266
74	434	260
75	438	253
76	443	247
77	448	241
78	452	235
79	457	228
80	462	222
81	467	216
82	471	210
83	480	205
84	486	200
85	491	194
86	497	188
87	502	182
88	510	177
89	515	171
90	519	165
91	523	159
92	528	153
93	531	147
94	536	141
95	541	135
96	547	129
97	552	124
98	557	118
99	563	112
100	567	106
101	570	100
102	573	94
103	576	88
104	579	82
105	581	76
106	584	71
107	587	65
108	592	59
109	594	54
110	598	48
111	606	43
112	610	37
113	615	32
114	619	26
115	624	21
116	629	16
117	634	10
118	638	5
119	640	0
