iter	Accuracy	Logloss
0	0.8128249567	0.674888496
1	0.8266897747	0.6594727703
2	0.8578856153	0.6439691011
3	0.8682842288	0.6268286658
4	0.8596187175	0.609824521
5	0.8596187175	0.5956531255
6	0.8509532062	0.5849082032
7	0.8440207972	0.5753530245
8	0.8457538995	0.5583495099
9	0.849220104	0.5444160507
10	0.856152513	0.5314802687
11	0.8578856153	0.5177839398
12	0.8526863085	0.5104386279
13	0.8440207972	0.5033829542
14	0.8474870017	0.4941207404
15	0.8405545927	0.4853888066
16	0.8440207972	0.4734096749
17	0.842287695	0.4688203921
18	0.8440207972	0.4601270471
19	0.8457538995	0.454559687
20	0.8457538995	0.4453469984
21	0.849220104	0.4367421385
22	0.849220104	0.4287987494
23	0.856152513	0.4202951434
24	0.8613518198	0.4133011867
25	0.8596187175	0.4064317122
26	0.8596187175	0.3990275587
27	0.863084922	0.3908873943
28	0.8648180243	0.3846098574
29	0.8717504333	0.377259715
30	0.870017331	0.373656945
31	0.8734835355	0.3676331017
32	0.8752166378	0.3625922944
33	0.8752166378	0.3584877533
34	0.8752166378	0.3543798067
35	0.8752166378	0.3529624075
36	0.87694974	0.3481444199
37	0.8804159445	0.3431296718
38	0.8804159445	0.3377830918
39	0.8804159445	0.3330059128
40	0.8856152513	0.329031492
41	0.8890814558	0.3256088745
42	0.8925476603	0.3208379673
43	0.8925476603	0.3176711428
44	0.8925476603	0.314919382
45	0.8925476603	0.3119808427
46	0.8942807626	0.3088643181
47	0.8942807626	0.3064151261
48	0.8960138648	0.3032063393
49	0.8960138648	0.3025653942
50	0.8977469671	0.2998487541
51	0.8977469671	0.2970027064
52	0.8977469671	0.2940015128
53	0.8977469671	0.2936921343
54	0.8977469671	0.2912209384
55	0.8977469671	0.2873217846
56	0.8994800693	0.286540604
57	0.8994800693	0.2832655054
58	0.9046793761	0.2820069276
59	0.9064124783	0.2797199067
60	0.9064124783	0.2773771344
61	0.9064124783	0.275081706
62	0.9081455806	0.273257854
63	0.9081455806	0.271272903
64	0.9098786828	0.2710119571
65	0.9081455806	0.2695684165
66	0.9081455806	0.2673641654
67	0.9098786828	0.264974399
68	0.9098786828	0.2638389009
69	0.9098786828	0.2622674286
70	0.9098786828	0.2605100758
71	0.9098786828	0.259945455
72	0.9116117851	0.2581081686
73	0.9116117851	0.2562848922
74	0.9133448873	0.2552289384
75	0.9150779896	0.2539396315
76	0.9150779896	0.2525521652
77	0.9168110919	0.2510907512
78	0.9168110919	0.2499921738
79	0.9168110919	0.2483811247
80	0.9168110919	0.2476188256
81	0.9168110919	0.2466507434
82	0.9202772964	0.2450403165
83	0.9220103986	0.2435755259
84	0.9220103986	0.2432597422
85	0.9220103986	0.2418019242
86	0.9202772964	0.2401806992
87	0.9202772964	0.2400047435
88	0.9202772964	0.2399522909
89	0.9202772964	0.2392403498
90	0.9202772964	0.2388528856
91	0.9220103986	0.2377284997
92	0.9220103986	0.2358311477
93	0.9220103986	0.2357337677
94	0.9220103986	0.234937149
95	0.9254766031	0.2341559914
96	0.9237435009	0.2334079764
97	0.9237435009	0.2328045448
98	0.9220103986	0.2326257591
99	0.9220103986	0.231596884
100	0.9254766031	0.2303335023
101	0.9254766031	0.2295985085
102	0.9254766031	0.2283648159
103	0.9272097054	0.2279336645
104	0.9306759099	0.226563347
105	0.9306759099	0.2259619782
106	0.9306759099	0.2256990196
107	0.9306759099	0.2253682723
108	0.9306759099	0.2241159598
109	0.9306759099	0.2217476494
110	0.9324090121	0.2207028851
111	0.9324090121	0.2195635359
112	0.9324090121	0.2188938317
113	0.9324090121	0.218859655
114	0.9324090121	0.2178312011
115	0.9324090121	0.2170492742
116	0.9324090121	0.216366443
117	0.9324090121	0.2150672533
118	0.9324090121	0.2148347318
119	0.9324090121	0.2139041757
