iter	Accuracy	Logloss
0	0.8393135725	0.6673531071
1	0.8393135725	0.6434366822
2	0.8346333853	0.6225836681
3	0.8252730109	0.6028959719
4	0.8252730109	0.5867161621
5	0.8283931357	0.5689371918
6	0.8299531981	0.5534478759
7	0.8283931357	0.540791407
8	0.8283931357	0.5267223491
9	0.8346333853	0.51488031
10	0.8361934477	0.5044796576
11	0.8361934477	0.4959142911
12	0.8408736349	0.4861081206
13	0.8408736349	0.4772333499
14	0.8439937598	0.4675497569
15	0.8439937598	0.4596594105
16	0.8439937598	0.4526753625
17	0.8439937598	0.4455030736
18	0.8439937598	0.4397568828
19	0.8439937598	0.4320717044
20	0.8471138846	0.4251044918
21	0.8502340094	0.4196107236
22	0.8502340094	0.4140669262
23	0.8502340094	0.4087248217
24	0.848673947	0.4028968871
25	0.8471138846	0.396713203
26	0.8471138846	0.3914065977
27	0.8517940718	0.3873265406
28	0.8517940718	0.3825906342
29	0.856474259	0.3774275764
30	0.8611544462	0.3737305821
31	0.8658346334	0.371211208
32	0.8689547582	0.3674343816
33	0.8705148206	0.3642073285
34	0.8705148206	0.3607841054
35	0.8689547582	0.3585914052
36	0.872074883	0.3558367792
37	0.8705148206	0.3529611592
38	0.872074883	0.3499663024
39	0.8705148206	0.3472757307
40	0.872074883	0.3449585586
41	0.8767550702	0.3421165543
42	0.8767550702	0.3393810627
43	0.8783151326	0.3372361543
44	0.879875195	0.3347852883
45	0.8814352574	0.3324222285
46	0.8829953198	0.3309329971
47	0.8829953198	0.3288312354
48	0.8845553822	0.3266377569
49	0.887675507	0.3248095457
50	0.8892355694	0.3231032688
51	0.8939157566	0.3210263357
52	0.8923556942	0.3194854803
53	0.895475819	0.3173960917
54	0.895475819	0.3160774312
55	0.895475819	0.3146243395
56	0.8939157566	0.3130817396
57	0.895475819	0.3114816216
58	0.8970358814	0.3102266316
59	0.8970358814	0.3085915081
60	0.8970358814	0.3071135592
61	0.8970358814	0.305248586
62	0.8970358814	0.3039047729
63	0.8985959438	0.3020197513
64	0.8985959438	0.3004835121
65	0.9001560062	0.2986650418
66	0.9017160686	0.297366856
67	0.9017160686	0.2964058964
68	0.9017160686	0.2942393352
69	0.9017160686	0.2932636085
70	0.9001560062	0.2920120378
71	0.9001560062	0.2913091935
72	0.9001560062	0.2904607081
73	0.9001560062	0.2889869717
74	0.9017160686	0.2887119131
75	0.9017160686	0.2881671554
76	0.9017160686	0.2870227038
77	0.9017160686	0.2869749951
78	0.9001560062	0.286387425
79	0.9001560062	0.2854007268
80	0.8985959438	0.2839707606
81	0.9001560062	0.2825832347
82	0.903276131	0.2814428234
83	0.903276131	0.2806018548
84	0.9017160686	0.280325141
85	0.903276131	0.2797325342
86	0.9017160686	0.2790319592
87	0.903276131	0.2785323031
88	0.903276131	0.2785114258
89	0.903276131	0.2777304516
90	0.903276131	0.2769141723
91	0.9048361934	0.2765257451
92	0.903276131	0.275476562
93	0.903276131	0.2750853494
94	0.9048361934	0.2745210702
95	0.9048361934	0.2743372841
96	0.9048361934	0.274295224
97	0.903276131	0.2731098062
98	0.9048361934	0.2726125498
99	0.9048361934	0.2716700533
100	0.9079563183	0.2702942908
101	0.9079563183	0.269618379
102	0.9079563183	0.2688541866
103	0.9079563183	0.2680276517
104	0.9079563183	0.2678370436
105	0.9079563183	0.2677970131
106	0.9079563183	0.2677562793
107	0.9079563183	0.267717229
