iter	Passed	Remaining
0	1	124
1	2	108
2	2	102
3	3	97
4	4	93
5	5	91
6	6	88
7	7	87
8	8	95
9	9	93
10	10	91
11	11	89
12	11	87
13	12	85
14	13	84
15	14	81
16	15	81
17	15	79
18	16	78
19	17	77
20	18	76
21	19	75
22	20	74
23	20	73
24	21	71
25	22	70
26	23	69
27	24	70
28	25	68
29	26	67
30	26	66
31	27	64
32	28	63
33	28	62
34	30	62
35	30	61
36	31	60
37	32	59
38	33	58
39	34	58
40	35	57
41	35	56
42	36	55
43	37	54
44	38	53
45	39	52
46	40	51
47	40	51
48	41	50
49	44	52
50	46	51
51	47	50
52	48	49
53	48	48
54	49	48
55	50	47
56	51	46
57	52	45
58	53	44
59	54	43
60	55	42
61	56	41
62	57	40
63	58	39
64	59	39
65	60	38
66	61	37
67	62	36
68	63	35
69	64	35
70	65	34
71	66	33
72	67	32
73	68	31
74	69	30
75	70	29
76	71	28
77	71	27
78	72	26
79	73	25
80	74	24
81	75	23
82	76	23
83	77	22
84	78	21
85	79	20
86	80	19
87	81	18
88	81	17
89	82	16
90	83	15
91	84	14
92	85	13
93	86	12
94	87	11
95	88	11
96	89	10
97	90	9
98	90	8
99	91	7
100	92	6
101	93	5
102	94	4
103	95	3
104	96	2
105	97	1
106	97	0
107	97	0
