nome,tamanho_cm,necessidade_agua,necessidade_luz,toxica_para_pets,ideal_interno
Ficus,69.0,Media,,1,1
Orquidea,36.0,Media,Sol-pleno,0,1
Suculenta,33.0,Alta,Sombra,0,1
Cacto,59.0,Alta,Meia-sombra,1,1
Cacto,70.0,Baixa,Sol-pleno,1,1
Espada-de-sao-jorge,51.0,Baixa,,0,1
Ficus,24.0,Media,Sombra,1,1
Orquidea,23.0,Media,Sombra,0,1
Samambaia,21.0,Alta,Meia-sombra,0,1
Ficus,15.0,Media,Sombra,0,1
Suculenta,52.0,Media,Meia-sombra,1,1
Espada-de-sao-jorge,73.0,Baixa,Sol-pleno,1,1
Orquidea,50.0,Baixa,Sombra,0,1
Orquidea,5.0,Alta,Sombra,0,1
Orquidea,46.0,Alta,Meia-sombra,0,1
Orquidea,47.0,Baixa,Sombra,0,1
Suculenta,92.0,Alta,Sombra,1,1
Ficus,21.0,Media,Sombra,0,1
Espada-de-sao-jorge,42.0,Media,Sombra,1,0
Cacto,84.0,Alta,Sol-pleno,0,1
Suculenta,59.0,Alta,Sombra,0,1
Cacto,61.0,Baixa,Meia-sombra,0,1
Samambaia,52.0,Baixa,Sol-pleno,1,0
Espada-de-sao-jorge,57.0,Alta,Meia-sombra,0,1
Orquidea,66.0,Alta,Meia-sombra,0,1
Suculenta,34.0,Baixa,,0,1
Cacto,68.0,Alta,Sol-pleno,1,0
Orquidea,23.0,Media,Sombra,1,1
Suculenta,57.0,Media,Sombra,1,1
Cacto,54.0,Baixa,Sol-pleno,0,1
Cacto,38.0,Alta,Sombra,1,0
Samambaia,50.0,Alta,Sombra,0,0
Ficus,38.0,Media,Sombra,1,1
Suculenta,29.0,Alta,Sombra,0,1
Espada-de-sao-jorge,43.0,Alta,Sombra,0,1
Ficus,28.0,Alta,Meia-sombra,1,1
Espada-de-sao-jorge,56.0,Alta,Meia-sombra,1,1
Orquidea,27.0,Alta,Sombra,0,1
Samambaia,64.0,Alta,Sol-pleno,0,1
Suculenta,26.0,Alta,Sombra,1,0
Ficus,39.0,Media,Sol-pleno,1,1
Orquidea,38.0,Alta,Sol-pleno,1,1
Orquidea,77.0,Baixa,Meia-sombra,0,1
Cacto,57.0,Media,Meia-sombra,0,1
Ficus,46.0,Media,Sombra,1,1
Espada-de-sao-jorge,60.0,Alta,Sombra,1,1
Cacto,8.0,Baixa,Sol-pleno,1,1
Espada-de-sao-jorge,49.0,Media,Meia-sombra,0,1
Orquidea,90.0,Baixa,Sombra,0,1
Orquidea,53.0,Alta,Sol-pleno,0,1
Orquidea,51.0,Alta,Sol-pleno,1,1
Samambaia,61.0,Baixa,Sombra,0,1
Cacto,68.0,Alta,Sombra,0,1
Cacto,10.0,Media,,1,1
Cacto,16.0,Alta,Sombra,1,1
Ficus,54.0,Alta,Meia-sombra,0,1
Suculenta,36.0,Baixa,Sombra,1,0
Ficus,76.0,Baixa,Meia-sombra,0,1
Orquidea,44.0,Media,Sombra,0,1
Orquidea,11.0,Baixa,Sol-pleno,0,1
Espada-de-sao-jorge,25.0,Baixa,Sol-pleno,0,1
Orquidea,5.0,Alta,Meia-sombra,1,1
Cacto,45.0,Alta,Meia-sombra,1,1
Espada-de-sao-jorge,46.0,Media,Sombra,0,1
Cacto,42.0,Baixa,Sombra,1,0
Samambaia,72.0,Baixa,Meia-sombra,0,1
Espada-de-sao-jorge,74.0,Alta,Sombra,1,1
Cacto,47.0,Baixa,,1,1
Ficus,7.0,Baixa,Meia-sombra,0,1
Cacto,62.0,Media,Sombra,0,1
Orquidea,61.0,Media,Meia-sombra,0,1
Samambaia,56.0,Media,Meia-sombra,0,1
Cacto,70.0,Media,Sol-pleno,1,0
Ficus,27.0,Alta,Sombra,0,1
Orquidea,90.0,Media,Meia-sombra,0,1
Cacto,31.0,Alta,Sol-pleno,0,1
Samambaia,65.0,Media,Sombra,1,1
Samambaia,16.0,Media,Sol-pleno,0,1
Suculenta,31.0,Media,Sol-pleno,1,1
Orquidea,80.0,Alta,Meia-sombra,0,1
Espada-de-sao-jorge,45.0,Alta,Sol-pleno,0,0
Cacto,67.0,Baixa,Sol-pleno,0,0
Ficus,55.0,Alta,Sombra,0,1
Orquidea,48.0,Alta,Sol-pleno,0,1
Suculenta,77.0,Alta,,1,1
Orquidea,45.0,Baixa,Sombra,1,1
Ficus,14.0,Alta,Sombra,0,1
Samambaia,34.0,Baixa,Meia-sombra,0,1
Orquidea,61.0,Baixa,Sol-pleno,0,1
Orquidea,58.0,Alta,Meia-sombra,0,1
Cacto,19.0,Baixa,Meia-sombra,1,1
Orquidea,36.0,Alta,Sombra,1,1
Espada-de-sao-jorge,38.0,Media,Meia-sombra,1,1
Cacto,43.0,Baixa,Meia-sombra,0,1
Espada-de-sao-jorge,22.0,Baixa,Meia-sombra,0,0
Samambaia,37.0,Alta,Sombra,0,1
Samambaia,35.0,Alta,Sombra,1,1
Orquidea,65.0,Media,Sol-pleno,0,0
Suculenta,66.0,Alta,Meia-sombra,1,1
Ficus,47.0,Baixa,Meia-sombra,0,1
Orquidea,42.0,Media,Sombra,0,1
Samambaia,53.0,Baixa,Sol-pleno,1,0
Orquidea,34.0,Media,Meia-sombra,0,1
Ficus,27.0,Baixa,Meia-sombra,0,1
Orquidea,31.0,Media,Sol-pleno,0,1
Orquidea,37.0,Media,Sombra,1,1
Orquidea,27.0,Media,,0,1
Suculenta,53.0,Media,Sol-pleno,1,1
Cacto,65.0,Media,Meia-sombra,0,1
Orquidea,18.0,Media,Sombra,0,1
Samambaia,51.0,Baixa,Sombra,0,1
Orquidea,46.0,Baixa,Sombra,0,1
Suculenta,57.0,Media,Meia-sombra,1,0
Cacto,50.0,Alta,Meia-sombra,1,0
Suculenta,21.0,Alta,Sombra,1,1
Suculenta,25.0,Media,Sol-pleno,1,1
Ficus,51.0,Alta,Sombra,0,1
Ficus,71.0,Alta,Meia-sombra,0,1
Samambaia,6.0,Media,Sol-pleno,1,1
Ficus,,Baixa,Sombra,0,1
Cacto,74.0,Media,Sombra,1,1
Orquidea,47.0,Media,Sombra,0,1
